Comment,Designator,Footprint,LCSC Part #
0,RGNDH RGNDL,R0603,
0.47uF,CCB1 CCB1-1 CCB2 CCB2-1 CCB3 CCB3-1 CCB4 CCB4-1 CCB5 CCB5-1 CCB6 CCB6-1 CCB7 CCB7-1 CCB8 CCB8-1 CCB9 CCB9-1 CCB10 CCB10-1 CCB11 CCB11-1 CCB12 CCB12-1 CCB13 CCB13-1 CCB14 CCB14-1 CCB15 CCB15-1 CCS,C0603,
10,RCS1 RCS2,R0603,
50,RCB0 RCB0-1 RCB1 RCB1-1 RCB2 RCB2-1 RCB3 RCB3-1 RCB4 RCB4-1 RCB5 RCB5-1 RCB6 RCB6-1 RCB7 RCB7-1 RCB8 RCB8-1 RCB9 RCB9-1 RCB10 RCB10-1 RCB11 RCB11-1 RCB12 RCB12-1 RCB13 RCB13-1 RCB14 RCB14-1,R2010,
